artist_name,birthday,country,startyear
Green Day,NA,United States,1987
Linkin Park,NA,United States,1996
The White Stripes,NA,United States,1997
Red Hot Chili Peppers,NA,United States,1983
Nickelback,NA,Foreign,1995
Evanescence,NA,United States,1995
Papa Roach,NA,United States,1993
Jet,NA,NA,NA
The Killers,NA,United States,2001
Kings of Leon,NA,United States,1999
Jimmy Eat World,NA,United States,1993
Alien Ant Farm,NA,United States,1996
System Of A Down,NA,United States,1994
Franz Ferdinand,1863-12-18,NA,NA
blink-182,NA,United States,1992
Foo Fighters,NA,United States,1994
Panic! At The Disco,NA,United States,2004
3 Doors Down,NA,United States,1996
Thirty Seconds To Mars,NA,United States,1998
Queens of the Stone Age,NA,United States,1996
Caesars,NA,NA,NA
Muse,NA,Foreign,1994
Plain White T's,NA,United States,1997
Puddle Of Mudd,NA,United States,1991
My Chemical Romance,NA,United States,2001
The All-American Rejects,NA,United States,1999
Audioslave,NA,United States,2001
Staind,NA,United States,1995
Three Days Grace,NA,Foreign,1997
Limp Bizkit,NA,United States,1994
Sum 41,NA,Foreign,1996
Rise Against,NA,United States,1999
Drowning Pool,NA,United States,1996
Fall Out Boy,NA,United States,2001
The Strokes,NA,United States,1998
Stone Sour,NA,United States,1992
Breaking Benjamin,NA,United States,1999
Disturbed,NA,United States,1994
Incubus,NA,United States,1991
P.O.D.,NA,United States,1992
U2,NA,Foreign,1976
AFI,NA,United States,1991
Arctic Monkeys,NA,Foreign,2002
The Raconteurs,NA,United States,2005
Korn,NA,United States,1993
Hoobastank,NA,United States,1994
Godsmack,NA,United States,1995
Wolfmother,NA,United States,2004
Chevelle,NA,United States,1995
Seether,NA,Foreign,1999
Deftones,NA,United States,1988
A Perfect Circle,NA,United States,1999
Bad Bunny,3/10/1994,NA,2016
DJ Snake,6/13/1986,Foreign,2009
Dillon Francis,10/5/1987,NA,2010
Cris Cab,1/21/1993,NA,2011
Bazzi,8/28/1997,NA,2015
Lele Pons,6/25/1996,United States,NA
Fuego,9/24/1981,NA,2005
Camila Cabello,3/3/1997,NA,2012
COASTCITY,NA,NA,NA
Dalex,10/7/1990,NA,2015
Gucci Mane,2/12/1980,United States,2001
Marc Anthony,9/16/1968,NA,1988
Miguel,10/23/1985,NA,2000
BIA,8/16/1991,NA,2014
Kap G,7/31/1994,United States,2011
Melii,NA,NA,NA
Mariah,3/27/1969,NA,1989
A.CHAL,5/30/1989,United States,2011
Cuco,6/26/1998,United States,2015
Jessie Reyez,6/12/1991,NA,2014
Kali Uchis,7/17/1994,NA,2012
Omar Apollo,5/20/1997,NA,2017
Rudy Mancuso,2/28/1992,NA,2012
Matt Hunter,2/20/1998,NA,2009
6ix9ine,5/8/1996,NA,2012
Cardi B,10/11/1992,NA,2015
Becky G,3/2/1997,NA,2008
Sammi Sanchez,1/28/1998,NA,NA
Jesse Baez,NA,NA,NA
Kim Viera,NA,NA,NA
Breakfast n Vegas,NA,NA,NA
Messiah,NA,NA,NA
Leslie Grace,1/7/1995,United States,2009
Pharrell Williams,4/5/1973,NA,1992
DaniLeigh,12/20/1994,NA,2013
Spiff TV,11/26/1992,NA,2009
Nina Sky,NA,United States,2003
Dj Kass,8/27/1987,United States,2017
Paula DeAnda,11/3/1989,NA,2005
Sofia Reyes,9/25/1995,NA,2011
Tory Lanez,7/27/1992,NA,2009
SUPER JUNIOR,NA,Foreign,2005
Snow Tha Product,6/24/1987,United States,2005
Jackie Cruz,8/8/1986,NA,NA
Trinidad Cardona,NA,NA,NA
DJ Africa,4/17/1957,United States,1977
Michl,NA,NA,NA
Ne-Yo,10/18/1979,United States,1998
Anthony Ramos,11/1/1991,NA,2011
Amara La Negra,10/4/1990,NA,1994
Play-N-Skillz,NA,United States,2003
Bruno Mars,10/8/1985,NA,2004
Fancy Cars,NA,NA,NA
Salaam Remi,5/14/1972,NA,1986
N.O.R.E.,9/6/1977,NA,1995
Lil Eddie,NA,NA,2003
Beyoncé,9/4/1981,NA,1997
Justin Timberlake,NA,NA,NA
Sean Kingston,2/3/1990,Foreign,2007
Britney Spears,12/2/1981,NA,NA
Michael Jackson,8/29/1958,NA,1964
Usher,10/14/1978,United States,1993
T.I.,9/25/1980,United States,1999
Shakira,2/2/1977,NA,1990
Train,NA,NA,NA
Foster The People,NA,United States,2009
The Script,NA,Foreign,2007
John Legend,12/28/1978,NA,1997
Miley Cyrus,11/23/1992,NA,2001
Christina Aguilera,12/18/1980,NA,1992
Kelly Clarkson,4/24/1982,NA,2002
OutKast,NA,United States,1991
Kesha,3/1/1987,NA,2005
Chris Brown,5/5/1989,NA,2002
Pitbull,1/15/1981,NA,2001
*NSYNC,NA,United States,1995
Avril Lavigne,9/27/1984,NA,1999
Mario,NA,NA,NA
P!nk,9/8/1979,NA,1995
One Direction,NA,Foreign,2010
Alicia Keys,1/25/1981,NA,1996
Leona Lewis,4/3/1985,NA,2004
Destiny's Child,NA,United States,1990
Sara Bareilles,12/7/1979,NA,1998
Daft Punk,NA,Foreign,1993
Ciara,10/25/1985,NA,2002
Natasha Bedingfield,11/26/1981,NA,2001
The Fray,NA,United States,2002
Gavin DeGraw,2/4/1977,NA,1998
Carrie Underwood,3/10/1983,NA,2005
The Calling,NA,United States,1996
Good Charlotte,NA,United States,1996
Daughtry,NA,United States,2006
Boys Like Girls,NA,United States,2005
John Mayer,10/16/1977,NA,1998
Five For Fighting,1/7/1965,NA,1988
Celia Cruz,10/21/1925,NA,1948
Kaoma,NA,Foreign,1988
Juanes,8/9/1972,NA,1988
Carlos Vives,8/7/1961,NA,1978
Elvis Crespo,7/30/1971,Foreign,1988
Enrique Iglesias,5/8/1975,NA,1995
Don Omar,2/10/1978,NA,1996
