song_id,song_name,artist_name,song_single,song_released,song_genre,song_label,song_songwriter,song_producer
Boulevard of Broken Dreams Green Day,Boulevard of Broken Dreams,Green Day,1,2004,"alt,rock","reprise,warner bros.","billie joe armstrong,mike dirnt,tr� cool","rob cavallo,green day"
In The End Linkin Park,In The End,Linkin Park,1,2001,"alt,rock,metal,pop,rap",warner bros.,"brad delson,chester bennington,joe hahn,mike shinoda,rob bourdon",don gilmore
Seven Nation Army The White Stripes,Seven Nation Army,The White Stripes,1,2003,"alt,rock","xl,v2,third man","jack white, anton bruckner",jack white
By The Way Red Hot Chili Peppers,By The Way,Red Hot Chili Peppers,1,2002,"alt,rock",warner bros.,NA,rick rubin
How You Remind Me Nickelback,How You Remind Me,Nickelback,1,2001,"alt,rock","sony japan,epic","chad kroeger,mike kroeger,ryan peake,ryan vikedal,chad kroeger,mike kroeger,ryan peake,ryan vikedal","rick parashar,nickelback"
Bring Me To Life Evanescence,Bring Me To Life,Evanescence,1,2003,"alt,rock,metal,elect",wind-up,"lee,moody,hodges",dave fortman
Last Resort Papa Roach,Last Resort,Papa Roach,1,2000,"metal,rap",dreamworks,"jacoby shaddix,tobin esperance",jay baumgardner
Are You Gonna Be My Girl Jet,Are You Gonna Be My Girl,Jet,1,2003,rock,elektra,"nic cester,cameron muncey",dave sardy
Mr. Brightside The Killers,Mr. Brightside,The Killers,1,2003,"alt,rock,pop","island,lizard king","brandon flowers,dave keuning,mark stoermer,ronnie vannucci jr.",the killers
Sex on Fire Kings of Leon,Sex on Fire,Kings of Leon,1,2008,"alt,rock","rca,sony","caleb followill,nathan followill,jared followill,matthew followill","angelo petraglia,jacquire king"
The Middle Jimmy Eat World,The Middle,Jimmy Eat World,1,2001,"alt,rock,punk,pop",dreamworks,jimmy eat world,"jimmy eat world,mark trombino"
Numb Linkin Park,Numb,Linkin Park,1,2003,"alt,rock,metal,pop",warner bros.,linkin park,"don gilmore,linkin park"
Smooth Criminal Alien Ant Farm,Smooth Criminal,Alien Ant Farm,0,2001,"alt,metal","new noize,dreamworks",NA,jay baumgardner
Can't Stop Red Hot Chili Peppers,Can't Stop,Red Hot Chili Peppers,1,2003,"alt,rock,rap",warner bros.,"flea, frusciante, kiedis, smith",rick rubin
Chop Suey! System Of A Down,Chop Suey!,System Of A Down,1,2001,"alt,metal",american,"daron malakian,serj tankian","daron malakian,rick rubin,serj tankian"
Take Me Out Franz Ferdinand,Take Me Out,Franz Ferdinand,1,2004,"rock,punk",domino,"alex kapranos,nick mccarthy",tore johansson
I Miss You blink-182,I Miss You,blink-182,1,2004,"alt,rock",geffen,"tom delonge,mark hoppus,travis barker",jerry finn
Best of You Foo Fighters,Best of You,Foo Fighters,1,2005,"alt,rock","bmg,rough trade","dave grohl,taylor hawkins,nate mendel,chris shiflett","nick raskulinecz,foo fighters"
I Write Sins Not Tragedies Panic! At The Disco,I Write Sins Not Tragedies,Panic! At The Disco,1,2006,"alt,rock,punk,pop","fueled by ramen,decaydance","ryan ross,brendon urie,spencer smith",matt squire
Kryptonite 3 Doors Down,Kryptonite,3 Doors Down,1,2000,"alt,rock","republic,universal",NA,paul ebersold
The Kill (Bury Me) Thirty Seconds To Mars,The Kill (Bury Me),Thirty Seconds To Mars,1,2006,rock,"immortal,virgin",jared leto,"josh abraham,thirty seconds to mars"
Use Somebody Kings of Leon,Use Somebody,Kings of Leon,1,2008,"alt,rock,pop","rca,sony","caleb followill,nathan followill,jared followill,matthew followill","jacquire king,angelo petraglia"
No One Knows Queens of the Stone Age,No One Knows,Queens of the Stone Age,1,2002,"alt,rock",interscope,"josh homme,mark lanegan","josh homme,eric valentine"
Jerk It Out Caesars,Jerk It Out,Caesars,1,2003,NA,"dolores recordings,virgin,astralwerks ",joakim �hlund,joakim �hlund
Uprising Muse,Uprising,Muse,1,2009,"rock,elect","warner bros.,helium-3",matt bellamy,muse
Hey There Delilah Plain White T's,Hey There Delilah,Plain White T's,1,2006,"pop,folk","hollywood,fearless",tom higgenson,"ariel rechtshaid,sean o'keefe"
Blurry Puddle Of Mudd,Blurry,Puddle Of Mudd,1,2001,"alt,rock","flawless,geffen","wes scantlin,doug ardito,jimmy allen",NA
American Idiot Green Day,American Idiot,Green Day,1,2004,"alt,rock,punk,pop",reprise,NA,"rob cavallo,green day"
Welcome to the Black Parade My Chemical Romance,Welcome to the Black Parade,My Chemical Romance,1,2006,"alt,rock,punk,pop",reprise,"bob bryar,frank iero,ray toro,gerard way,mikey way","rob cavallo,my chemical romance"
Gives You Hell The All-American Rejects,Gives You Hell,The All-American Rejects,1,2008,"rock,punk,pop","dgc,interscope","nick wheeler,tyson ritter",eric valentine
All My Life Foo Fighters,All My Life,Foo Fighters,1,2002,"alt,rock","roswell, rca","dave grohl, taylor hawkins, nate mendel, chris shiflett","foo fighters, nick raskulinecz"
Like a Stone Audioslave,Like a Stone,Audioslave,1,2003,"alt,rock","epic,interscope","brad wilk,chris cornell,tim commerford,tom morello","rick rubin,audioslave"
It's Been Awhile Staind,It's Been Awhile,Staind,1,2001,other,"flip,elektra","aaron lewis,mike mushok,johnny april,jon wysocki",josh abraham
I Hate Everything About You Three Days Grace,I Hate Everything About You,Three Days Grace,1,2003,metal,"jive,zomba",adam gontier,gavin brown
Rollin' (Air Raid Vehicle) Limp Bizkit,Rollin' (Air Raid Vehicle),Limp Bizkit,1,2000,"metal,rap","flip,interscope","william durst,wesley borland,john otto,samuel rivers","fred durst,dj lethal"
Fat Lip Sum 41,Fat Lip,Sum 41,1,2001,"rock,punk,pop,rap",island,"deryck whibley,stevo jocz,dave brownsound,greig nori",jerry finn
The Pretender Foo Fighters,The Pretender,Foo Fighters,1,2007,rock,"roswell,rca","dave grohl,taylor hawkins,nate mendel,chris shiflett",gil norton
Savior Rise Against,Savior,Rise Against,1,2009,"rock,punk","dgc,interscope",rise against,"bill stevenson,jason livermore"
Bodies Drowning Pool,Bodies,Drowning Pool,1,2001,metal,wind-up,"stevie benton,mike luce,c.j. pierce,dave williams",NA
"Sugar, We're Goin Down Fall Out Boy","Sugar, We're Goin Down",Fall Out Boy,1,2005,"punk,pop",island,"pete wentz,patrick stump,joe trohman,andy hurley",neal avron
Last Nite The Strokes,Last Nite,The Strokes,1,2001,"rock,pop","rough trade,rca",julian casablancas,gordon raphael
Through Glass Stone Sour,Through Glass,Stone Sour,1,2006,"alt,rock",roadrunner,"shawn economaki,josh rand,jim root,corey taylor",nick raskulinecz
The Diary of Jane - Single Version Breaking Benjamin,The Diary of Jane - Single Version,Breaking Benjamin,1,2006,rock,hollywood,"benjamin burnley,aaron fink,mark klepaski",david bendeth
Down With the Sickness Disturbed,Down With the Sickness,Disturbed,1,2000,metal,giant,"steve kmak,dan donegan,mike wengren,david draiman",johnny k
