Cohort Year,School,GSR,FGR
2010,Abilene Christian University,57,44
2010,University of Akron,66,55
2010,Alabama A&M University,65,47
2010,Alabama State University,43,30
2010,University of Alabama,84,67
2010,University of Alabama at Birmingham,75,62
2010,University at Albany,82,66
2010,Alcorn State University,57,37
2010,Appalachian State University,74,70
2010,Arizona State University,76,68
2010,University of Arizona,74,62
2010,Arkansas State University,76,65
2010,"University of Arkansas, Fayetteville",60,46
2010,Auburn University,70,60
2010,Austin Peay State University,71,65
2010,Ball State University,71,60
2010,Charleston Southern University,56,38
2010,Baylor University,82,63
2010,Bethune-Cookman University,55,49
2010,Boise State University,86,81
2010,Boston College,90,76
2010,Bowling Green State University,82,63
2010,Brigham Young University,52,44
2010,Brown University,98,
2010,Bryant University,92,74
2010,Bucknell University,89,84
2010,"University at Buffalo, the State University of New York",67,57
2010,Butler University,81,
2010,California Polytechnic State University,68,70
2010,"California State University, Fresno",68,65
2010,"California State University, Sacramento",69,47
2010,"University of California, Berkeley",58,48
2010,"University of California, Davis",82,80
2010,"University of California, Los Angeles",83,65
2010,Campbell University,76,
2010,Central Connecticut State University,64,46
2010,University of Central Florida,92,66
2010,Central Michigan University,72,51
2010,University of Cincinnati,84,68
2010,The Citadel,81,67
2010,Clemson University,85,75
2010,Coastal Carolina University,78,67
2010,Colgate University,91,77
2010,Colorado State University,70,57
2010,"University of Colorado, Boulder",79,60
2010,Columbia University-Barnard College,98,
2010,University of Connecticut,80,67
2010,Cornell University,96,
2010,Dartmouth College,100,
2010,Davidson College,95,
2010,University of Dayton,91,100
2010,Delaware State University,71,59
2010,University of Delaware,78,70
2010,Drake University,82,
2010,Duke University,96,87
2010,Duquesne University,80,72
2010,East Carolina University,68,63
2010,Eastern Illinois University,71,60
2010,Eastern Kentucky University,75,55
2010,Eastern Michigan University,67,47
2010,Eastern Washington University,71,61
2010,Florida A&M University,49,38
2010,Florida Atlantic University,75,65
2010,Florida International University,68,58
2010,Florida State University,74,61
2010,University of Florida,77,48
2010,Fordham University,90,82
2010,Furman University,77,70
2010,Georgetown University,89,79
2010,Georgia Southern University,63,57
2010,Georgia State University,33,
2010,Georgia Institute of Technology,82,70
2010,University of Georgia,53,41
2010,Grambling State University,63,60
2010,Hampton University,67,61
2010,Harvard University,100,
2010,"University of Hawaii, Manoa",80,68
2010,College of the Holy Cross,94,82
2010,University of Houston,60,53
2010,Howard University,69,63
2010,Idaho State University,72,44
2010,University of Idaho,55,39
2010,Illinois State University,74,48
2010,University of Illinois Urbana-Champaign,77,57
2010,Indiana State University,69,52
2010,"Indiana University, Bloomington",84,69
2010,Iowa State University,77,55
2010,University of Iowa,76,60
2010,Jackson State University,59,40
2010,Jacksonville State University,60,52
2010,Jacksonville University,64,
2010,James Madison University,81,78
2010,Kansas State University,77,63
2010,University of Kansas,79,69
2010,Kent State University,77,69
2010,University of Kentucky,73,57
2010,Lafayette College,95,75
2010,Lamar University,74,62
2010,Lehigh University,84,78
2010,Liberty University,75,69
2010,Louisiana State University,78,44
2010,Louisiana Tech University,67,58
2010,University of Louisville,76,68
2010,University of Maine,78,67
2010,Marist College,79,100
2010,Marshall University,73,48
2010,"University of Maryland, College Park",79,62
2010,"University of Massachusetts, Amherst",62,47
2010,McNeese State University,73,75
2010,University of Memphis,75,57
2010,Miami University (Ohio),85,73
2010,University of Miami (Florida),88,62
2010,Michigan State University,72,56
2010,University of Michigan,82,66
2010,Middle Tennessee State University,85,73
2010,"University of Minnesota, Twin Cities",83,61
2010,Mississippi State University,84,68
2010,Mississippi Valley State University,74,38
2010,University of Mississippi,68,47
2010,"University of Missouri, Columbia",85,73
2010,Monmouth University,88,70
2010,Montana State University-Bozeman,79,66
2010,University of Montana,67,53
2010,Morehead State University,63,
2010,Morgan State University,56,47
2010,Murray State University,71,54
2010,"University of North Carolina, Chapel Hill",66,48
2010,"University of Nebraska, Lincoln",85,75
2010,"University of Nevada, Las Vegas",56,48
2010,"University of Nevada, Reno",75,61
2010,University of New Hampshire,84,71
2010,New Mexico State University,67,52
2010,University of New Mexico,64,51
2010,Nicholls State University,76,50
2010,Norfolk State University,59,53
2010,North Carolina A&T State University,53,47
2010,North Carolina Central University,66,48
2010,North Carolina State University,74,61
2010,North Dakota State University,72,65
2010,University of North Dakota,71,57
2010,University of North Texas,76,52
2010,University of Louisiana Monroe,64,57
2010,Northern Arizona University,71,48
2010,University of Northern Colorado,78,48
2010,Northern Illinois University,84,67
2010,University of Northern Iowa,66,54
2010,Northwestern State University,60,48
2010,Northwestern University,99,92
2010,University of Notre Dame,96,90
2010,The Ohio State University,69,48
2010,Ohio University,74,63
2010,Oklahoma State University,51,42
2010,University of Oklahoma,72,57
2010,Old Dominion University,70,50
2010,Oregon State University,69,49
2010,University of Oregon,67,62
2010,Pennsylvania State University,84,69
2010,University of Pennsylvania,94,
2010,University of Pittsburgh,74,52
2010,Portland State University,61,51
2010,Prairie View A&M University,50,41
2010,Princeton University,96,
2010,Purdue University,81,66
2010,University of Rhode Island,68,47
2010,Rice University,91,83
2010,University of Richmond,78,71
2010,Robert Morris University,78,60
2010,"Rutgers, The State University of New Jersey, New Brunswick",82,58
2010,Sacred Heart University,76,49
2010,Saint Francis University (Pennsylvania),83,73
2010,Sam Houston State University,64,53
2010,Samford University,94,72
2010,San Diego State University,76,76
2010,University of San Diego,93,
2010,San Jose State University,81,72
2010,Savannah State University,40,29
2010,University of South Alabama,64,57
2010,South Carolina State University,60,55
2010,"University of South Carolina, Columbia",98,58
2010,South Dakota State University,70,66
2010,University of South Dakota,79,59
2010,University of South Florida,73,74
2010,Southeast Missouri State University,65,54
2010,Southeastern Louisiana University,63,49
2010,University of Southern California,73,56
