SongId,SpotifyUrl,SongName,ArtistName,ReleaseDate,ReleaseDatePrecision,DurationMs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,TimeSignature,Popularity,GeniusUrl,AnnotationCount,LyricsState,PageViews,SongLyrics,Attempts,CollectionTime
5RcuACCOhgoc4ZH57AVCLA,https://open.spotify.com/track/5RcuACCOhgoc4ZH57AVCLA,Feel Like A Fool,Kali Uchis,2018-04-06,day,185239,0.7,0.812,3.0,-4.8,1.0,0.0311,0.0245,0.0,0.102,0.855,107.983,4.0,54,https://www.genius.com/Kali-uchis-feel-like-a-fool-lyrics,2,complete,52180.0,"[Verse 1]
What can I do? It's just too late to reach you
Your cigarette burnt holes all through my t-shirt
The truth is such a pain, too horrible to name
They say don't blame the player but he played the game
[Chorus]
It's no fun to feel like a fool
When you learn your baby don't belong to you
Some might laugh, some might call it cruel
When you learn your baby don't belong to you
[Verse 2]
Love you for being sick and twisted
But pussy is a hell of an addiction
My heart went through a shredder
The day I learned about your baby mothers
'Cause you're a grown ass man, now you should know better
But I still run all my errands in your sweater
'Cause the truth is such a pain, too horrible to name
They say don't blame the player but he played the game
[Chorus]
It's no fun to feel like a fool
When you learn your baby don't belong to you
Some might laugh, some might call it cruel
When you learn your baby don't belong to you
[Bridge]
I can't look, closed my eyes
Can't believe it could've been mine
[Chorus]:
It's no fun to feel like a fool
When you learn your baby don't belong to you
Some might laugh, some might call it cruel
When you learn your baby don't belong to you
[Outro]
No fun to feel like a fool, fool
It's no fun to feel like a fool",3.0,5.106665300001623
5BJSZocnCeSNeYMj3iVqM7,https://open.spotify.com/track/5BJSZocnCeSNeYMj3iVqM7,Love Runs Out,OneRepublic,2014-01-01,day,224226,0.719,0.935,7.0,-3.752,1.0,0.0589,0.167,0.0,0.0973,0.738,120.022,4.0,61,https://www.genius.com/Onerepublic-love-runs-out-lyrics,3,complete,93098.0,"[Verse 1]
I'll be your light, your match, your burning sun
I'll be the bright, in black, that's making you run
And we'll feel alright, and we'll feel alright
'Cause we'll work it out, yeah, we'll work it out
I'll be doing this, if you had a doubt
'Til the love runs out, 'til the love runs out
[Verse 2]
I'll be your ghost, your game, your stadium
I'll be your fifty-thousand clapping like one
And I feel alright, and I feel alright
'Cause I worked it out, yeah, I worked it out
I'll be doin' this, if you had a doubt
'Til the love runs out, 'til the love runs out
[Chorus]
I got my mind made up
Man, I can't let go
I'm killing every second 'til it saves my soul
I'll be running, I'll be running
'Til the love runs out
'Til the love runs out
And we'll start a fire, and we'll shut it down
'Til the love runs out
'Til the love runs out
[Verse 3]
There's a maniac out in front of me
Got an angel on my shoulder, and Mephistopheles
But Mama raised me good, Mama raised me right
Mama said, ""Do what you want, say prayers at night""
And I'm saying them, 'cause I'm so devout
'Til the love runs out
'Til the love runs out, yeah
[Chorus]
I got my mind made up
Man, I can't let go
I'm killing every second 'til it saves my soul
(Ooh) I'll be running
(Ooh) I'll be running
'Til the love runs out
'Til the love runs out
And we'll start a fire, and we'll shut it down
'Til the love runs out
'Til the love runs out
[Bridge]
Ooh, we all want the same thing
Ooh, we all run for something
Run for God, for fate
For love, for hate
For gold, for rust
For diamonds, for dust
I'll be your light, your match, your burning sun
I'll be the bright in black that's making you run
[Chorus]
I got my mind made up
Man, I can't let go
I'm killing every second 'til it saves my soul
(Ooh) I'll be running
(Ooh) I'll be running
'Til the love runs out
'Til the love runs out
And we'll start a fire, and we'll shut it down
'Til the love runs out
'Til the love runs out
[Verse 1 - Outro Variation]
I'll be your light, your match, your burning sun
I'll be the bright, in black that's making you run
And we'll feel alright, and we'll feel alright
'Cause we'll work it out, yes, we'll work it out
And we'll start a fire, and we'll shut it down
'Til the love runs out
'Til the love runs out
'Til the love runs out",8.0,9.265151999999944
1saZ5nnaCWBjOK09izEK9c,https://open.spotify.com/track/1saZ5nnaCWBjOK09izEK9c,i don't think i love you anymore,Alaina Castillo,2019-10-18,day,229383,0.557,0.358,9.0,-7.095,0.0,0.0329,0.731,6.14e-06,0.163,0.201,72.877,4.0,59,https://www.genius.com/Alaina-castillo-i-dont-think-i-love-you-anymore-lyrics,10,complete,46620.0,"[Verse 1]
I don't really trust myself with you
Let you back in, forgive and forget
But then I get bruised
I just blame it on myself
Like it’s all me, thinking I'm useless
Making excuses not even you believe
[Pre-Chorus]
Got this stranger feeling rushing through my head
Can't drop it; it’s already halfway there
I've been finding reasons to pretend and just ignore it
Now, I got some thoughts to share
[Chorus]
I don't think I love you anymore
Don't believe it when I say I feel like I'm yours
And I know you only say that you love me so I'll stay
But this feeling just became a thought
I don't think I love you anymore
No, I don't think I love you anymore
[Verse 2]
And I try, I try to not bring it back to you
(Not bring it back to you)
But tonight, tonight, I don’t know what I’m gonna do, yeah
(Don't know what I’m gonna do)
'Cause I come and get a bad vibe
Stay the night and we argue for the sixth time
And I cry, say I'm leaving with a sure mind every time
But this time, I
[Pre-Chorus]
Got this stranger feeling rushing through my head
Can't drop it; it’s already halfway there
I've been finding reasons to pretend and just ignore it
Now, I got some thoughts to share
[Chorus]
I don't think I love you anymore
Don't believe it when I say I feel like I'm yours
And I know you only say that you love me so I'll stay
But this feeling just became a thought
I don't think I love you anymore
No, I don't think I love you anymore
[Outro]
I don't love you, yeah, eh
I don't love you, yeah, yeah",1.0,2.5361277000010887
56Pc2hxq8ahbmJ1vyKZ27b,https://open.spotify.com/track/56Pc2hxq8ahbmJ1vyKZ27b,My Mind Is Ramblin,The Black Keys,2006-05-02,day,405173,0.349,0.672,9.0,-6.812,1.0,0.0336,0.341,0.473,0.101,0.419,136.726,4.0,38,https://www.genius.com/The-black-keys-my-mind-is-ramblin-lyrics,1,complete,7279.0,"[Verse 1]
My mind is rambling
From place to place
Tell me, tell me
What must I do?
[Chorus]
Yeah-hee yeah-hee
Yeah-hee yeah~awh
Hah-ha
Ah~ah~ah~ah
Ah~ah
Ah~ah~ah~ah
[Verse 2]
I been love
Been love for a long time
With you baby
Give me your hand, yeah
Say you love me
Say that you'll be mine
[Chorus]
Yeah-hee yeah-hee
Yeah-hee yeah
Yeah-hee yeah-hee
Yeah-hee yeah-hee~awh
Oh-hoh
Oh~oh~oh~oh
Oh oh
Oh~oh~oh~oh
Oh-hoh
Oh~oh~oh~oh
[Verse 3]
My mind is rambling
From place to place
Tell me, tell me
Tell me what to do
Be the right way
[Outro]
Yeah-hee yeah-hee
Yeah-hee yeah~eah
Yeah-hee yeah-hee
Yeah-hee yeah~aww
Oh-hoh
Oh~oh~oh~oh
Oh-hoh
Oh~oh~oh~no",1.0,1.9518922999996
2Sl5zu0c9QVmfltTJ4k4wx,https://open.spotify.com/track/2Sl5zu0c9QVmfltTJ4k4wx,Forth and Back,Slum Village,2009-01-26,day,266746,0.894,0.524,1.0,-4.521,1.0,0.39,0.0418,0.0,0.32,0.644,102.164,4.0,26,https://www.genius.com/Slum-village-forth-and-back-remix-lyrics,3,complete,5024.0,"[Intro]
Alright, I'm on your radio dial!
107.5 Detroit Motown, and Motor City is the place to get down!
Look up at the top of the charts, what do you see?
It's S.V.!
Hope you're ready to get down
What's the deal?
I just happen to be one of the representatives to these local styles...
Hey, look at all of these ladies crowdin' around!
Hey, they're ready to get down with the Slum Village!
Hey, they came with the Fan-Tas-Tic!
Nah, they hittin' you with the sensation!
I get half of the (?) album
Hey...
[Verse 1: J Dilla]
Time, time, time for some action
Peace to all my people paper stackin'
Askin' for the S is like askin'
For the satisfaction of climaxin'
Nasty flow on some Miss Jackson
Hardcore like pistol grip packin'
In fact when we rappin' it's no slackin
'Member back when we used to backspin?
Hustle, do it (do it, do it, do it)
Errol Flynn
S be the heavyweight like your mom Sherlynn
Keep it realer than your girl Cheryl Lynn
And do it from De-troit to Ber-lin
Yeah, movin' this shit
Forth and back, forth and back
Forth and back
Forth forth, back back, forth forth, back
Forth and back, forth, yeah
[Chorus 1: Kurupt]
(Come on) just rock to the rhythm, forth and back
Forth and back, forth and back
Back, back (back back)
Forth and back, forth and back
Forth and back, back, back
Forth and back (back), forth and back (back)
Forth and back (back), back, back
(Forth) forth and back (uh huh)
Forth and back (say what)
Forth and back (check it out)
[Verse 2: Kurupt]
Since I was young, dumb and hung
Hard to believe and hard to breathe like I'm missing a lung
It's all foggy, 
loc
! Let me through the fog
In the coupe missing Daz
, Snoop, and Nate Dogg
Gotta get it where I fit in, sit in, put my business
Standing as a man in the land of the forbidden
(It's) Hard to realize 'til I saw it televised
And I made a young brother have to open his eyes
I had a little bit of this, a little bit of that
And a whole lot of money I missed
But without that whole lot of money I missed
The Kurupt couldn't rock like this
With a knot like this, I learned game baby (game baby, game baby)
[Bridge]
Shake, shake, shake that thing
Shake, shake, shake that thing
Keep shakin', keep bouncin'
Keep groovin', keep doin'
Keep do what you do
Keep shakin', keep bouncin'
Keep rollin', keep doin'
Keep do what you do
Just shakin', shake, shake, shake that thing
[Verse 3: T3]
Give it up for these niggas be rockin' ya
Slum be runnin' this game like Bruce Jenner
Watch us clean up this game like Noxzema
On this track like cutie feelin' foxy, ma
Drainin' blood out of niggas like Dracula
Whatsup it's S.V., we attackin' ya
For some reason, y'all niggas gettin tackier
Some reason, y'all niggas gettin' nastier
Tryna step to the S, we top caliber
Some reason, y'all niggas lack character
Keep shakin baby, you know I ain't mad at ya
Get with it baby, still ain't mad at ya
Come on
[Chorus 2: T3, 
J Dilla
]
Forth back, forth back 
(shake, shake, shake that thing)
Forth back, forth and back 
(shake, shake, shake that thing)
Forth back, forth and back 
(shake, shake, shake that thing)
Forth back, forth and back 
(shake, shake, shake that thing)
Forth back, forth and back 
(shake, shake, shake that thing)
Forth back, forth and back 
(shake, shake, shake that thing)
Forth back, forth and back 
(shake, shake, shake that thing)
Forth back, forth and back 
(shake, shake, shake that thing)
Forth back, forth and back 
(shake, shake, shake that thing)
[Verse 4: Baatin]
Forth and back and forth and back
We goin' forth, back, time to react
To my love, it's like a nuclear bomb when I rap
You had to make an issue when I told you relax
I mean, your life it ain't passionate the way that you act
It ain't on track... Women are like that
All she really wants is a part time love affair
Tell me why do we share
(You gotta) give me two things that you enjoy
Being independent and self-employed
And in the talk about sex, you just get 'nnoyed
Told you I was coming but you in-sist (ted)
This slow, could never rap to this, too much bliss
I know you really wanna come give me a kiss...
[Outro Bridge: Baatin]
Shake that thing
Shake, shake, shake, shake, shake that thing
Shake, shake, shake, shake, shake that thing
(You gotta) shake, shake, shake, shake, shake that thing
[Outro]
Keep movin', keep doin', keep groovin'
Keep shakin, keep shakin', keep bouncin'
Keep doin', keep takin', keep doin'
Shake, shake, shake that thing
Shake, shake, shake that thing
Shake, shake, shake that thing
Shake, shake, shake that thing",1.0,1.7644918000005418
7fcU3OoJdmzXpjQ0jAPCxU,https://open.spotify.com/track/7fcU3OoJdmzXpjQ0jAPCxU,End On 9,Guttermouth,1994-01-01,day,127226,0.319,0.959,9.0,-5.274,1.0,0.151,0.0182,2.21e-05,0.0971,0.668,191.638,4.0,27,https://www.genius.com/Guttermouth-end-on-9-lyrics,1,complete,,"Sometimes i let things get me down
People tell me that i've got no future
Not this time, i'm gonna prove them wrong
I'm gonna screw them all and beat the system
Distinguish myself
From the rest of the flock
With my huge blue mohawk
I choose not to follow the norm
I'm as capable and more qualified than most
People, you've gotta face the fact
Realize that we can make a difference
Ignorance, the plague is everywhere
You know you gotta care about your freedoms
Single handedly
I will wage my war on a personal level
Everyday i will attack the establishment
Fishing without a license
And i will drink wine befoe it's time
Everything will be okay
Sit at home and watch television
Don't think anymore
No time for self expression
Keep me in the closet man, in the dark
Be a number, not a human
Number 201 report for duty, sir
This time...i'm gonna prove them wrong
This time...i'll show them that i'm strong
This time...i'll fight until the end
This time...just you and i my friend
This time...",2.0,3.9722234000000753
0SQNQbVk8gVXf0EsTrb97R,https://open.spotify.com/track/0SQNQbVk8gVXf0EsTrb97R,Santa Claus Is Watching You,Ray Stevens,2004-10-28,day,198693,0.82,0.644,0.0,-7.763,1.0,0.0959,0.245,0.0,0.043,0.8,103.487,4.0,38,https://www.genius.com/Ray-stevens-santa-claus-is-watching-you-lyrics,1,complete,,"Now baby doll, sweetie-pie, sugarplum
Honey-bunch, angel face
You know you better be good
And act like two fine lovers should
Be careful what you say and do
'Cause Santa Claus is watchin' you
He's everywhere, he's everywhere
You'd better kiss and hold me tight
And give me good lovin' every night
'Cause you'll be sorry if ya make me blue
'Cause Santa Claus is watchin' you
He's everywhere, he's everywhere
Well you may thing you can sneak around
And get away with something but there ain't no way
'Cause Santa's no fool, he's really super cool
He's the secret head of the CIA
Eesh, Iish, crime don't pay
You can't do nothin' 'cause you're never alone
He's even got a wire tap on your phone
So baby if you ever do me wrong
Break my heart and leave me alone
When Christmas comes, you'll b crying too
'Cause Santa Claus is watching you
He's everywhere, he's everywhere
Every Christmas eve, he climbs on his sled full of toys
With fuel exhaust and side mirrors
The fox tails,the mud flaps the leopard-skin seats covers
And spreads Christmas cheer to all good little girls and boys
Then he says on Dasher, Dancer, Prancer, Vixen, Comet, Cupid
Donner and Blitzen and Bruce and Marvin, Leon
Cletus and George and Bill and Slick and Do-right
Clyde and Ace and Blackie and Queenie
And Prince and Spot and Rover
So where's Rudolph
He's on a stakeout at your house
You can run, you can hide, but you can't get away
Got binoculars focused on you everyday
So baby if you ever do me wrong
Break my heart and leave me alone
When Christmas comes, you'll b crying too
'Cause Santa Claus is watching you
He's everywhere, he's everywhere
Yeah, Santa Claus is watchin' you
He's everywhere oh Lord have mercy!
Santa Claus has got his eyes all over you baby
You you better watch out hoo!
Look out there Santa Claus is peepin' around the corner at you
You're in deep trouble, you know that?
I don't think you understand the situation
I got a call into the North Pole right now
Them little elves gonna come down here, whoop up on you
I'm mean you got to be true blue - through and through
Or Santa's gonna get you!",2.0,2.389187700002367
2RlGSQ4SFmMDh4qTR9hkVp,https://open.spotify.com/track/2RlGSQ4SFmMDh4qTR9hkVp,Mask of the Great Deceiver,Kerry Livgren,1980-07-01,day,454173,0.558,0.429,6.0,-13.474,1.0,0.0307,0.00533,0.017,0.13,0.32,106.762,4.0,21,https://www.genius.com/Kerry-livgren-mask-of-the-great-deceiver-lyrics,1,complete,,"Well he's the prince of the world his work is never complete
And though he promises all you'll lie a slave at his feet
Don't you know the world is his dominion?
Can't you see that you're bound in his chains?
The time is short so take your strength in what remains
He will fill up your ears and he'll dazzle your eyes
But don't believe what he's saying 'cause he's the father of lies
In your heart don't you know that he'll betray you?
In the end he will drag you away
Till all the world is crying for the judgement day
And he's fallen how he's fallen
From the height of the morning star
Though his light's still shining brightly
It's the mask of the great deceiver
The great deceiver
Though the truth has walked among us
And the words that he spoke will remain
There's a heartbreaking blindness upon us
All our efforts to be free are in vain
Without the gift of love
We're lost without the love
Well he never will rest until his evil is done
And he don't want you to know your freedom's already won
Don't you know the world is his dominion?
Can't you see he keeps it in chains?
Time is short so take your strength in what remains
He's fallen oh he's fallen
From the height of the morning star
Though his light's still shining brightly
It's the mask of the great deceiver
The mask of the great deceiver
He's going to make you a believer
He'll tell you lies
He'll betray your eyes
The great deceiver",1.0,2.745209300002898
7hCrsc9AEYWqI918S9yoUp,https://open.spotify.com/track/7hCrsc9AEYWqI918S9yoUp,Swishas & Erb (feat. Sleepy Brown),UGK,2009-03-30,day,242160,0.68,0.712,4.0,-6.452,1.0,0.0568,0.02,0.0,0.0741,0.46,86.966,4.0,31,https://www.genius.com/Ugk-swishas-and-dosha-lyrics,26,complete,11573.0,"[Intro: Pimp C (screwed)]
Know what I'm talmbout?
Like we always do about this time, bitch!
[Verse 1: Pimp C]
I got candy in my cup (Cup), candy in my 'gar ('Gar)
Candy on my wrist (Wrist), candy on my car (Car)
Smoking on this chocolate,
 
my neckpiece is so sparkling
Man, I feel so aw-ka-ward when I ain't got no Barre to sip (Sip)
I keep a whole zip (Whole zip),
 a whole clip (A whole clip)
In case these pussy niggas wanna trip (Ugh)
Fly high, boy (Boy), high fly, boy (Boy)
'Fore I fly high, looking them jackers in they eye (Eye)
I remember when a rapper was a go-getter (Go-getter)
Now, all these rappers is some ho niggas (Ugh)
Hide behind the guards at the show nigga (Ugh)
Don't want no pussy, homosexual, on-the-low nigga
That's y'all (That's y'all), I'm from the old school (Ugh)
Like MJG and Ball, like Devin the Dude
I know Short Dog (Dog), the real Short Dog (Dog)
You see me draped and dipped,
 
stepped out the whip on Sunset Strip
[Hook: Pimp C]
Swishers and doja
Blowing and driving
Benzes and Caddys
Swinging big-bodies
Swishers and doja
Blowing and driving
Benzes and Caddys
Swinging big-bodies
[Verse 2: Bun B]
Fuck niggas bumping gums
Real niggas be bumpin Screw (Screw)
So don't get bumped up just in case a real G bump into you
I'm like Bumpy Knuckles
Buck with nothing but Redi-Rockers
That's down for pistol play
(On who?) On boys that steady knock us
Got boppers that's steady jocking, goofy niggas in my ear
Bitch, I'm a self-made trillionaire, get your soft ass out of here
Weak niggas wanna plead they case (Case)
Just to raise up out my face (Face)
I ain't got that time to waste
Punch your mouth and knock out the taste
You MySpaceing and Facebooking
Playing games with them toys
I'm in the streets where gangstas meet
While you online with them boys
So step your game up, build your name up
Quit your talking and get to doing
All that planning and contemplating
When the fuck you gon' start pursuing?
Cars ain't driving theyself, mansions ain't building theyself
They waiting for Ed McMahon
They need to stop feeling theyself
They wealth ain't comin until they earn it
But that's something they won't know 'til they learn it
While burning...
[Hook: Pimp C]
Swishers and doja
Blowing and driving
Benzes and Caddys
Swinging big-bodies
Swishers and doja
Blowing and driving
Benzes and Caddys
Swinging big-bodies
[Verse 3: Pimp C]
I'ma tell you pussy niggas once again (Once again)
Ain't had no friends since I left the pen (Ugh)
It's some niggas I respect in the rap game (Game)
But it's some niggas I better not hear saying my fucking name (Ugh)
You say I love a stripper (Bitch), quit pullin down my zipper (Bitch)
That ho was paying me, bitch, don't try to play with me (Bitch)
You running from the fight, hiding, bitch, I stay with it (With it)
You got a problem with me, go to Lil J with it
[Verse 4: Bun B]
This is UGK, get it? Bun and Pimp, Pimp and Bun
Trill OGs is staying hard, you coming limp, sipping son
They want it, we can give them some
(But...) Probably not what they wanna see
Trill-ass niggas, certified, ain't never been no wannabe (Naww)
Has-beens, never-was, past-due, outdated
Can't nobody from the North, East, West, or South fade it (At all)
You talking down, but we coming up as well as coming down
So Pimp—sum it up, baby
[Hook: Pimp C]
Swishers and doja
Blowing and driving
Benzes and Caddys
Swinging big-bodies
Swishers and doja
Blowing and driving
Benzes and Caddys
Swinging big-bodies
Swishers and doja
Blowing and driving
Benzes and Caddys
Swinging big-bodies
Swishers and doja
Blowing and driving
Benzes and Caddys
Swinging big-bodies",4.0,6.196774899999582
5eoU0tj9CAKZMYXsQBJqe9,https://open.spotify.com/track/5eoU0tj9CAKZMYXsQBJqe9,this is heaven & id die for it,American Pleasure Club,2018-02-16,day,243239,0.104,0.751,7.0,-5.96,1.0,0.05,0.392,0.0016,0.117,0.589,166.947,4.0,47,https://www.genius.com/American-pleasure-club-this-is-heaven-and-id-die-for-it-lyrics,2,complete,18059.0,"Pretty boys, yeah they’re up to no good
Test it out, it’s well understood
Beneath the palms when the lights start to leave
You started laughing when you looked at me
“art is dead” read the personal ad
Keep getting stoned & you’ll never be sad
Looking for coke in a state of bliss
This is heaven & i’d die for it
Slumped down, he’s down for the count
Drunk kids fucking in the backseats of cars
You started sobbing on the way to the bar
Slumped down with your head on your knees
Look in the mirror at you looking at me
So test me out, see what love really means
I heard you’re vicious but you heard i’m a freak
The body aches when you tell it to quit
But this is heaven & i’d die for it
Slumped down, he’s down for the count
(i think it used to bring me down
But now i’m laughing out loud)",8.0,8.338842500001192
